Location,pop2019,pop2020
Afghanistan,38041757,38928341
Albania,2880913,2877800
Algeria,43053054,43851043
American Samoa,55312,55196
Andorra,77146,77265
Angola,31825299,32866267
Antigua,97115,97928
Azerbaijan,10047719,10139175
Argentina,44780675,45195777
Australia,25203200,25499881
Austria,8955108,9006400
Bahamas,389486,393248
Bahrain,1641164,1701582
Bangladesh,163046173,164689383
Armenia,2957728,2963234
Barbados,287020,287371
Belgium,11539326,11589616
Bermuda,62508,62273
Bhutan,763093,771612
Bolivia,11513101,11673028
Bosnia,3300998,3280815
Botswana,2303703,2351625
Brazil,211049518,212559409
Belize,390351,397621
Solomon Islands,669821,686878
Virgin Islands,30033,30237
Brunei,433296,437483
Bulgaria,7000116,6948445
Myanmar,54045422,54409794
Burundi,11530577,11890781
Belarus,9452409,9449321
Cambodia,16486542,16718971
Cameroon,25876387,26545863
Canada,37411038,37742157
Cabo Verde,549936,555988
Cayman Islands,64948,65720
Central Africa,4745179,4829764
Sri Lanka,21323734,21413250
Chad,15946882,16425859
Chile,18952035,19116209
China,1433783691,1439323774
Taiwan,23773881,23816775
Colombia,50339443,50882884
Comoros,850891,869595
Mayotte,266153,272813
Congo,5380504,5518092
D.R. Congo,86790568,89561404
Cook Islands,17547,17564
Costa Rica,5047561,5094114
Croatia,4130299,4105268
Cuba,11333483,11326616
Cyprus,1198573,1207361
Czechia,10689213,10708982
Benin,11801151,12123198
Denmark,5771876,5792203
Dominica,71808,71991
Dominican Republic,10738957,10847903
Ecuador,17373657,17643060
El Salvador,6453550,6486201
Equatorial Guinea,1355982,1402985
Ethiopia,112078727,114963583
Eritrea,3497117,3546427
Estonia,1325649,1326539
Faroe Islands,48677,48865
Falkland Islands,3372,3483
Fiji,889955,896444
Finland,5532159,5540718
France,65129731,65273512
French Guiana,290823,298682
French Polynesia,279285,280904
Djibouti,973557,988002
Gabon,2172578,2225728
Georgia,3996762,3989175
Gambia,2347696,2416663
Palestine,4981422,5101416
Germany,83517046,83783945
Ghana,30417857,31072945
Gibraltar,33705,33691
Kiribati,117607,119446
Greece,10473452,10423056
Greenland,56660,56772
Grenada,112002,112518
Guadeloupe,400048,400126
Guam,167295,168783
Guatemala,17581476,17915567
Guinea,12771246,13132792
Guyana,782775,786559
Haiti,11263079,11402533
Holy See,815,809
Honduras,9746115,9904608
Hong Kong ,7436156,7496988
Hungary,9684680,9660350
Iceland,339037,341250
India,1366417756,1380004385
Indonesia,270625567,273523621
Iran,82913893,83992953
Iraq,39309789,40222503
Ireland,4882498,4937795
Israel,8519373,8655541
Italy,60550092,60461828
Côte d'Ivoire,25716554,26378275
Jamaica,2948277,2961160
Japan,126860299,126476458
Kazakhstan,18551428,18776707
Jordan,10101697,10203140
Kenya,52573967,53771300
North Korea,25666158,25778815
South Korea,51225321,51269183
Kuwait,4207077,4270563
Kyrgyzstan,6415851,6524191
Laos,7169456,7275556
Lebanon,6855709,6825441
Lesotho,2125267,2142252
Latvia,1906740,1886202
Liberia,4937374,5057677
Libya,6777453,6871286
Liechtenstein,38020,38137
Lithuania,2759631,2722290
Luxembourg,615730,625976
Macao,640446,649342
Madagascar,26969306,27691019
Malawi,18628749,19129955
Malaysia,31949789,32365998
Maldives,530957,540541
Mali,19658023,20250834
Malta,440376,441539
Martinique,375556,375265
Mauritania,4525698,4649660
Mauritius,1269670,1271767
Mexico,127575529,128932753
Monaco,38967,39244
Mongolia,3225165,3278292
Moldova,4043258,4033962
Montenegro,627988,628062
Montserrat,4991,4999
Morocco,36471766,36910558
Mozambique,30366042,31255435
Oman,4974992,5106622
Namibia,2494524,2540916
Nauru,10764,10834
Nepal,28608715,29136807
Netherlands,17097123,17134873
Curaçao,163423,164100
Aruba,106310,106766
Sint Maarten,42388,42882
Carib Netherlands,25983,26221
New Caledonia,282757,285491
Vanuatu,299882,307150
New Zealand,4783062,4822233
Nicaragua,6545503,6624554
Niger,23310718,24206636
Nigeria,200963603,206139587
Niue,1614,1618
Norway,5378859,5421241
Mariana Islands,57213,57556
Micronesia,113811,115021
Marshall Islands,58791,59193
Palau,18000,18092
Pakistan,216565316,220892331
Panama,4246440,4314768
Papua New Guinea,8776119,8947027
Paraguay,7044639,7132530
Peru,32510462,32971845
Philippines,108116621,109581085
Poland,37887771,37846605
Portugal,10226178,10196707
Guinea-Bissau,1920917,1967997
Timor-Leste,1293120,1318442
Puerto Rico,2933404,2860840
Qatar,2832071,2881060
Réunion,888932,895308
Romania,19364558,19237682
Russia,145872260,145934460
Rwanda,12626938,12952208
Saint Barthélemy,9853,9885
Saint Helena,6061,6071
Saint Kitts,52833,53192
Anguilla,14872,15002
Saint Lucia,182795,183629
Saint Martin,38001,38659
Saint Vincent,110592,110947
San Marino,33864,33938
Sao Tome,215048,219160
Saudi Arabia,34268529,34813867
Senegal,16296362,16743930
Serbia,8772228,8737370
Seychelles,97741,98340
Sierra Leone,7813206,7976985
Singapore,5804343,5850343
Slovakia,5457012,5459643
Viet Nam,96462108,97338583
Slovenia,2078654,2078932
Somalia,15442906,15893219
South Africa,58558267,59308690
Zimbabwe,14645473,14862927
Spain,46736782,46754782
South Sudan,11062114,11193729
Sudan,42813237,43849269
Western Sahara,582458,597330
Suriname,581363,586634
Eswatini,1148133,1160164
Sweden,10036391,10099270
Switzerland,8591360,8654618
Sriya,17070131,17500657
Tajikistan,9321023,9537642
Thailand,69625580,69799978
Togo,8082359,8278736
Tokelau,1330,1350
Tonga,104497,105697
Trinidad & Tobago,1394969,1399491
U.A Emirates,9770526,9890400
Tunisia,11694721,11818618
Turkey,83429607,84339067
Turkmenistan,5942094,6031187
T.C.I,38194,38718
Tuvalu,11655,11792
Uganda,44269587,45741000
Ukraine,43993643,43733759
North Macedonia,2083458,2083380
Egypt,100388076,102334403
United Kingdom,67530161,67886004
Channel Islands,172264,173859
Isle of Man,84589,85032
Tanzania,58005460,59734212
USA,329064917,331002647
U.S Virgin Islands,104579,104422
Burkina Faso,20321383,20903278
Uruguay,3461731,3473727
Uzbekistan,32981714,33469199
Venezuela,28515828,28435943
Wallis and Futuna,11436,11245
Samoa,197093,198410
Yemen,29161922,29825967
Zambia,17861034,18383956
World,7713468205,7794798729

